Ticker,Multiplier,Tick Size,Exchange Fees,Commission,NFA Fees,Slippage,Sector
S.AES,1,0.01,0,0.005,0,2,STK
S.AET,1,0.01,0,0.005,0,2,STK
S.AFL,1,0.01,0,0.005,0,2,STK
S.AFS.A,1,0.01,0,0.005,0,2,STK
S.AGC,1,0.01,0,0.005,0,2,STK
S.AGN,1,0.01,0,0.005,0,2,STK
S.AHM,1,0.01,0,0.005,0,2,STK
S.AIG,1,0.01,0,0.005,0,2,STK
S.AIV,1,0.01,0,0.005,0,2,STK
S.AIZ,1,0.01,0,0.005,0,2,STK
S.AKAM,1,0.01,0,0.005,0,2,STK
S.AKS,1,0.01,0,0.005,0,2,STK
S.ALL,1,0.01,0,0.005,0,2,STK
S.ALLE,1,0.01,0,0.005,0,2,STK
S.ALXN,1,0.01,0,0.005,0,2,STK
S.AM,1,0.01,0,0.005,0,2,STK
S.AMAT,1,0.01,0,0.005,0,2,STK
S.AMCC,1,0.01,0,0.005,0,2,STK
S.AMD,1,0.01,0,0.005,0,2,STK
S.AME,1,0.01,0,0.005,0,2,STK
S.AMG,1,0.01,0,0.005,0,2,STK
S.AMGN,1,0.01,0,0.005,0,2,STK
S.AMP,1,0.01,0,0.005,0,2,STK
S.AMT,1,0.01,0,0.005,0,2,STK
S.AMZN,1,0.01,0,0.005,0,2,STK
S.AN,1,0.01,0,0.005,0,2,STK
S.ANDW,1,0.01,0,0.005,0,2,STK
S.ANF,1,0.01,0,0.005,0,2,STK
S.ANR,1,0.01,0,0.005,0,2,STK
S.ANTM,1,0.01,0,0.005,0,2,STK
S.ANV,1,0.01,0,0.005,0,2,STK
S.AON,1,0.01,0,0.005,0,2,STK
S.APA,1,0.01,0,0.005,0,2,STK
S.APC,1,0.01,0,0.005,0,2,STK
S.APCC,1,0.01,0,0.005,0,2,STK
S.APD,1,0.01,0,0.005,0,2,STK
S.APH,1,0.01,0,0.005,0,2,STK
S.APOL,1,0.01,0,0.005,0,2,STK
S.ARG,1,0.01,0,0.005,0,2,STK
S.AS,1,0.01,0,0.005,0,2,STK
S.ASH,1,0.01,0,0.005,0,2,STK
S.ASN,1,0.01,0,0.005,0,2,STK
S.ASND,1,0.01,0,0.005,0,2,STK
S.ASO,1,0.01,0,0.005,0,2,STK
S.ATI,1,0.01,0,0.005,0,2,STK
S.ATVI,1,0.01,0,0.005,0,2,STK
S.AV,1,0.01,0,0.005,0,2,STK
S.AVB,1,0.01,0,0.005,0,2,STK
S.AVGO,1,0.01,0,0.005,0,2,STK
S.AVP,1,0.01,0,0.005,0,2,STK
S.AVY,1,0.01,0,0.005,0,2,STK
S.AW,1,0.01,0,0.005,0,2,STK
S.AWE,1,0.01,0,0.005,0,2,STK
S.AWK,1,0.01,0,0.005,0,2,STK
S.AXP,1,0.01,0,0.005,0,2,STK
S.AYE,1,0.01,0,0.005,0,2,STK
S.AZA.A,1,0.01,0,0.005,0,2,STK
S.AZO,1,0.01,0,0.005,0,2,STK
S.BA,1,0.01,0,0.005,0,2,STK
S.BAC,1,0.01,0,0.005,0,2,STK
S.BAX,1,0.01,0,0.005,0,2,STK
S.BAY,1,0.01,0,0.005,0,2,STK
S.BBBY,1,0.01,0,0.005,0,2,STK
S.BBT,1,0.01,0,0.005,0,2,STK
S.BBY,1,0.01,0,0.005,0,2,STK
S.BC,1,0.01,0,0.005,0,2,STK
S.BCO,1,0.01,0,0.005,0,2,STK
S.BCR,1,0.01,0,0.005,0,2,STK
S.BDK,1,0.01,0,0.005,0,2,STK
S.BDX,1,0.01,0,0.005,0,2,STK
S.BEN,1,0.01,0,0.005,0,2,STK
S.BEV,1,0.01,0,0.005,0,2,STK
S.BF.B,1,0.01,0,0.005,0,2,STK
S.BFI,1,0.01,0,0.005,0,2,STK
S.BFO,1,0.01,0,0.005,0,2,STK
S.BGEN,1,0.01,0,0.005,0,2,STK
S.BGG,1,0.01,0,0.005,0,2,STK
S.BHGE,1,0.01,0,0.005,0,2,STK
S.BIG,1,0.01,0,0.005,0,2,STK
S.BIIB,1,0.01,0,0.005,0,2,STK
S.BJS,1,0.01,0,0.005,0,2,STK
S.BK,1,0.01,0,0.005,0,2,STK
S.BKB,1,0.01,0,0.005,0,2,STK
S.BLK,1,0.01,0,0.005,0,2,STK
S.BLL,1,0.01,0,0.005,0,2,STK
S.BLS,1,0.01,0,0.005,0,2,STK
S.BLY,1,0.01,0,0.005,0,2,STK
S.BMMI,1,0.01,0,0.005,0,2,STK
S.BMET,1,0.01,0,0.005,0,2,STK
S.BMGCA,1,0.01,0,0.005,0,2,STK
S.BMS,1,0.01,0,0.005,0,2,STK
S.BMY,1,0.01,0,0.005,0,2,STK
S.BNI,1,0.01,0,0.005,0,2,STK
S.BNL,1,0.01,0,0.005,0,2,STK
S.BOAT,1,0.01,0,0.005,0,2,STK
S.BOL,1,0.01,0,0.005,0,2,STK
S.BRCM,1,0.01,0,0.005,0,2,STK
S.BRK.B,1,0.01,0,0.005,0,2,STK
S.BRL,1,0.01,0,0.005,0,2,STK
S.BRNO,1,0.01,0,0.005,0,2,STK
S.BS,1,0.01,0,0.005,0,2,STK
S.BSC,1,0.01,0,0.005,0,2,STK
S.BSET,1,0.01,0,0.005,0,2,STK
S.BSX,1,0.01,0,0.005,0,2,STK
S.BT,1,0.01,0,0.005,0,2,STK
S.BTU,1,0.01,0,0.005,0,2,STK
S.BVSN,1,0.01,0,0.005,0,2,STK
S.BWA,1,0.01,0,0.005,0,2,STK
S.BXLT,1,0.01,0,0.005,0,2,STK
S.BXP,1,0.01,0,0.005,0,2,STK
S.C,1,0.01,0,0.005,0,2,STK
S.CA,1,0.01,0,0.005,0,2,STK
S.CAG,1,0.01,0,0.005,0,2,STK
S.CAH,1,0.01,0,0.005,0,2,STK
S.CAL,1,0.01,0,0.005,0,2,STK
S.CAM,1,0.01,0,0.005,0,2,STK
S.CAT,1,0.01,0,0.005,0,2,STK
S.CB,1,0.01,0,0.005,0,2,STK
S.CBE,1,0.01,0,0.005,0,2,STK
S.CBRE,1,0.01,0,0.005,0,2,STK
S.CBH,1,0.01,0,0.005,0,2,STK
S.CBS,1,0.01,0,0.005,0,2,STK
S.CBSS,1,0.01,0,0.005,0,2,STK
S.CCE,1,0.01,0,0.005,0,2,STK
S.CCI,1,0.01,0,0.005,0,2,STK
S.CCK,1,0.01,0,0.005,0,2,STK
S.CCL,1,0.01,0,0.005,0,2,STK
S.CAR,1,0.01,0,0.005,0,2,STK
S.CEG,1,0.01,0,0.005,0,2,STK
S.CELG,1,0.01,0,0.005,0,2,STK
S.CEM,1,0.01,0,0.005,0,2,STK
S.CEN,1,0.01,0,0.005,0,2,STK
S.CEPH,1,0.01,0,0.005,0,2,STK
S.CERN,1,0.01,0,0.005,0,2,STK
S.CF,1,0.01,0,0.005,0,2,STK
S.CFC,1,0.01,0,0.005,0,2,STK
S.CFG,1,0.01,0,0.005,0,2,STK
S.CFL,1,0.01,0,0.005,0,2,STK
S.CFN,1,0.01,0,0.005,0,2,STK
S.CG,1,0.01,0,0.005,0,2,STK
S.CGP,1,0.01,0,0.005,0,2,STK
S.CHA,1,0.01,0,0.005,0,2,STK
S.CHD,1,0.01,0,0.005,0,2,STK
S.CHIR,1,0.01,0,0.005,0,2,STK
S.CHK,1,0.01,0,0.005,0,2,STK
S.CHRW,1,0.01,0,0.005,0,2,STK
S.CI,1,0.01,0,0.005,0,2,STK
S.CIC,1,0.01,0,0.005,0,2,STK
S.CIEN,1,0.01,0,0.005,0,2,STK
S.CIN,1,0.01,0,0.005,0,2,STK
S.CINF,1,0.01,0,0.005,0,2,STK
S.CIT,1,0.01,0,0.005,0,2,STK
S.CKL,1,0.01,0,0.005,0,2,STK
S.CL,1,0.01,0,0.005,0,2,STK
S.CLF,1,0.01,0,0.005,0,2,STK
S.CLX,1,0.01,0,0.005,0,2,STK
S.CMA,1,0.01,0,0.005,0,2,STK
S.CMB,1,0.01,0,0.005,0,2,STK
S.CMCSA,1,0.01,0,0.005,0,2,STK
S.CME,1,0.01,0,0.005,0,2,STK
S.CMG,1,0.01,0,0.005,0,2,STK
S.CMI,1,0.01,0,0.005,0,2,STK
S.CMS,1,0.01,0,0.005,0,2,STK
S.CMVT,1,0.01,0,0.005,0,2,STK
S.CMX,1,0.01,0,0.005,0,2,STK
S.GNT,1,0.01,0,0.005,0,2,STK
S.CNG,1,0.01,0,0.005,0,2,STK
S.CNO,1,0.01,0,0.005,0,2,STK
S.CNP,1,0.01,0,0.005,0,2,STK
S.CNW,1,0.01,0,0.005,0,2,STK
S.CNX,1,0.01,0,0.005,0,2,STK
S.CNXT,1,0.01,0,0.005,0,2,STK
S.COC.B,1,0.01,0,0.005,0,2,STK
S.COF,1,0.01,0,0.005,0,2,STK
S.COG,1,0.01,0,0.005,0,2,STK
S.TPR,1,0.01,0,0.005,0,2,STK
S.COL,1,0.01,0,0.005,0,2,STK
S.COMS,1,0.01,0,0.005,0,2,STK
S.COP,1,0.01,0,0.005,0,2,STK
S.COST,1,0.01,0,0.005,0,2,STK
S.COV,1,0.01,0,0.005,0,2,STK
S.CPB,1,0.01,0,0.005,0,2,STK
S.CPGX,1,0.01,0,0.005,0,2,STK
S.CPN,1,0.01,0,0.005,0,2,STK
S.CPQ,1,0.01,0,0.005,0,2,STK
S.CPWR,1,0.01,0,0.005,0,2,STK
S.CR,1,0.01,0,0.005,0,2,STK
S.CRM,1,0.01,0,0.005,0,2,STK
S.CSC,1,0.01,0,0.005,0,2,STK
S.CSCO,1,0.01,0,0.005,0,2,STK
S.CSE,1,0.01,0,0.005,0,2,STK
S.CSR,1,0.01,0,0.005,0,2,STK
S.CSRA,1,0.01,0,0.005,0,2,STK
S.CSX,1,0.01,0,0.005,0,2,STK
S.CTAS,1,0.01,0,0.005,0,2,STK
S.CTB,1,0.01,0,0.005,0,2,STK
S.CTL,1,0.01,0,0.005,0,2,STK
S.CTSH,1,0.01,0,0.005,0,2,STK
S.CTX,1,0.01,0,0.005,0,2,STK
S.CTXS,1,0.01,0,0.005,0,2,STK
S.CVA,1,0.01,0,0.005,0,2,STK
S.RMG,1,0.01,0,0.005,0,2,STK
S.CVG,1,0.01,0,0.005,0,2,STK
S.CVH,1,0.01,0,0.005,0,2,STK
S.CVS,1,0.01,0,0.005,0,2,STK
S.CVX,1,0.01,0,0.005,0,2,STK
S.CXO,1,0.01,0,0.005,0,2,STK
S.CYM,1,0.01,0,0.005,0,2,STK
S.CYR,1,0.01,0,0.005,0,2,STK
S.D,1,0.01,0,0.005,0,2,STK
S.DAL,1,0.01,0,0.005,0,2,STK
S.DAN,1,0.01,0,0.005,0,2,STK
S.DD,1,0.01,0,0.005,0,2,STK
S.DDR,1,0.01,0,0.005,0,2,STK
S.DDS,1,0.01,0,0.005,0,2,STK
S.DE,1,0.01,0,0.005,0,2,STK
S.DEC,1,0.01,0,0.005,0,2,STK
S.DELL,1,0.01,0,0.005,0,2,STK
S.DF,1,0.01,0,0.005,0,2,STK
S.DFS,1,0.01,0,0.005,0,2,STK
S.DG,1,0.01,0,0.005,0,2,STK
S.DGN,1,0.01,0,0.005,0,2,STK
S.DGX,1,0.01,0,0.005,0,2,STK
S.DHI,1,0.01,0,0.005,0,2,STK
S.DHR,1,0.01,0,0.005,0,2,STK
S.DI,1,0.01,0,0.005,0,2,STK
S.DIGI,1,0.01,0,0.005,0,2,STK
S.DIS,1,0.01,0,0.005,0,2,STK
S.DISCA,1,0.01,0,0.005,0,2,STK
S.DISCK,1,0.01,0,0.005,0,2,STK
S.DJ,1,0.01,0,0.005,0,2,STK
S.APTV,1,0.01,0,0.005,0,2,STK
S.DLTR,1,0.01,0,0.005,0,2,STK
S.DLX,1,0.01,0,0.005,0,2,STK
S.DNB,1,0.01,0,0.005,0,2,STK
S.DNR,1,0.01,0,0.005,0,2,STK
S.DO,1,0.01,0,0.005,0,2,STK
S.DOV,1,0.01,0,0.005,0,2,STK
S.DWDP,1,0.01,0,0.005,0,2,STK
S.DPH,1,0.01,0,0.005,0,2,STK
S.DPS,1,0.01,0,0.005,0,2,STK
S.DRI,1,0.01,0,0.005,0,2,STK
S.DTE,1,0.01,0,0.005,0,2,STK
S.DTV,1,0.01,0,0.005,0,2,STK
S.DUK,1,0.01,0,0.005,0,2,STK
S.ATGE,1,0.01,0,0.005,0,2,STK
S.DVA,1,0.01,0,0.005,0,2,STK
S.DVN,1,0.01,0,0.005,0,2,STK
S.DWD,1,0.01,0,0.005,0,2,STK
S.DYN,1,0.01,0,0.005,0,2,STK
S.E,1,0.01,0,0.005,0,2,STK
S.EA,1,0.01,0,0.005,0,2,STK
S.EBAY,1,0.01,0,0.005,0,2,STK
S.EC,1,0.01,0,0.005,0,2,STK
S.ECH,1,0.01,0,0.005,0,2,STK
S.ECL,1,0.01,0,0.005,0,2,STK
S.ECO,1,0.01,0,0.005,0,2,STK
S.ED,1,0.01,0,0.005,0,2,STK
S.EDS,1,0.01,0,0.005,0,2,STK
S.EFU,1,0.01,0,0.005,0,2,STK
S.EFX,1,0.01,0,0.005,0,2,STK
S.EIX,1,0.01,0,0.005,0,2,STK
S.KODK,1,0.01,0,0.005,0,2,STK
S.EL,1,0.01,0,0.005,0,2,STK
S.EMC,1,0.01,0,0.005,0,2,STK
S.EMN,1,0.01,0,0.005,0,2,STK
S.EMR,1,0.01,0,0.005,0,2,STK
S.ENDP,1,0.01,0,0.005,0,2,STK
S.ENRNQ,1,0.01,0,0.005,0,2,STK
S.EOG,1,0.01,0,0.005,0,2,STK
S.EOP,1,0.01,0,0.005,0,2,STK
S.EP,1,0.01,0,0.005,0,2,STK
S.EQ,1,0.01,0,0.005,0,2,STK
S.EQIX,1,0.01,0,0.005,0,2,STK
S.EQR,1,0.01,0,0.005,0,2,STK
S.EQT,1,0.01,0,0.005,0,2,STK
S.ES,1,0.01,0,0.005,0,2,STK
S.ESRX,1,0.01,0,0.005,0,2,STK
S.ESS,1,0.01,0,0.005,0,2,STK
S.ESV,1,0.01,0,0.005,0,2,STK
S.ESY,1,0.01,0,0.005,0,2,STK
S.ETFC,1,0.01,0,0.005,0,2,STK
S.ETN,1,0.01,0,0.005,0,2,STK
S.ETR,1,0.01,0,0.005,0,2,STK
S.ETS,1,0.01,0,0.005,0,2,STK
S.EW,1,0.01,0,0.005,0,2,STK
S.EXC,1,0.01,0,0.005,0,2,STK
S.EXPD,1,0.01,0,0.005,0,2,STK
S.EXPE,1,0.01,0,0.005,0,2,STK
S.EXR,1,0.01,0,0.005,0,2,STK
S.F,1,0.01,0,0.005,0,2,STK
S.FAST,1,0.01,0,0.005,0,2,STK
S.FB,1,0.01,0,0.005,0,2,STK
S.FBF,1,0.01,0,0.005,0,2,STK
S.FBO,1,0.01,0,0.005,0,2,STK
S.FCX,1,0.01,0,0.005,0,2,STK
S.FDC,1,0.01,0,0.005,0,2,STK
S.FDO,1,0.01,0,0.005,0,2,STK
S.FDX,1,0.01,0,0.005,0,2,STK
S.FE,1,0.01,0,0.005,0,2,STK
S.FFB,1,0.01,0,0.005,0,2,STK
S.FFIV,1,0.01,0,0.005,0,2,STK
S.FHN,1,0.01,0,0.005,0,2,STK
S.FII,1,0.01,0,0.005,0,2,STK
S.FIS,1,0.01,0,0.005,0,2,STK
S.FISV,1,0.01,0,0.005,0,2,STK
S.FITB,1,0.01,0,0.005,0,2,STK
S.FJ,1,0.01,0,0.005,0,2,STK
S.FL,1,0.01,0,0.005,0,2,STK
S.FLE,1,0.01,0,0.005,0,2,STK
S.FLIR,1,0.01,0,0.005,0,2,STK
S.FLM,1,0.01,0,0.005,0,2,STK
S.FLR,1,0.01,0,0.005,0,2,STK
S.FLS,1,0.01,0,0.005,0,2,STK
S.FMC,1,0.01,0,0.005,0,2,STK
S.FMY,1,0.01,0,0.005,0,2,STK
S.FNMA,1,0.01,0,0.005,0,2,STK
S.FOSL,1,0.01,0,0.005,0,2,STK
S.FOX,1,0.01,0,0.005,0,2,STK
S.FOXA,1,0.01,0,0.005,0,2,STK
S.FPC,1,0.01,0,0.005,0,2,STK
S.FMCC,1,0.01,0,0.005,0,2,STK
S.FRT,1,0.01,0,0.005,0,2,STK
S.FRX,1,0.01,0,0.005,0,2,STK
S.FSH,1,0.01,0,0.005,0,2,STK
S.FSLB,1,0.01,0,0.005,0,2,STK
S.FSLR,1,0.01,0,0.005,0,2,STK
S.FTI,1,0.01,0,0.005,0,2,STK
S.FTL.A,1,0.01,0,0.005,0,2,STK
S.FTR,1,0.01,0,0.005,0,2,STK
S.FWLT,1,0.01,0,0.005,0,2,STK
S.GAP,1,0.01,0,0.005,0,2,STK
S.GAS,1,0.01,0,0.005,0,2,STK
S.GD,1,0.01,0,0.005,0,2,STK
S.GDT,1,0.01,0,0.005,0,2,STK
S.GDW,1,0.01,0,0.005,0,2,STK
S.GE,1,0.01,0,0.005,0,2,STK
S.GENZ,1,0.01,0,0.005,0,2,STK
S.GFS.A,1,0.01,0,0.005,0,2,STK
S.GGP,1,0.01,0,0.005,0,2,STK
S.GHC,1,0.01,0,0.005,0,2,STK
S.NLV,1,0.01,0,0.005,0,2,STK
S.GIDL,1,0.01,0,0.005,0,2,STK
S.GILD,1,0.01,0,0.005,0,2,STK
S.GIS,1,0.01,0,0.005,0,2,STK
S.GLD,1,0.01,0,0.005,0,2,STK
S.GLW,1,0.01,0,0.005,0,2,STK
S.GM,1,0.01,0,0.005,0,2,STK
S.GMCR,1,0.01,0,0.005,0,2,STK
S.GME,1,0.01,0,0.005,0,2,STK
S.GNW,1,0.01,0,0.005,0,2,STK
S.GOOG,1,0.01,0,0.005,0,2,STK
S.GOOGL,1,0.01,0,0.005,0,2,STK
S.GOSHA,1,0.01,0,0.005,0,2,STK
S.GP,1,0.01,0,0.005,0,2,STK
S.GPC,1,0.01,0,0.005,0,2,STK
S.GPS,1,0.01,0,0.005,0,2,STK
S.GPU,1,0.01,0,0.005,0,2,STK
S.GR,1,0.01,0,0.005,0,2,STK
S.GRA,1,0.01,0,0.005,0,2,STK
S.GRMN,1,0.01,0,0.005,0,2,STK
S.GRN,1,0.01,0,0.005,0,2,STK
S.GS,1,0.01,0,0.005,0,2,STK
S.GSX,1,0.01,0,0.005,0,2,STK
S.GT,1,0.01,0,0.005,0,2,STK
S.GTW,1,0.01,0,0.005,0,2,STK
S.GWF,1,0.01,0,0.005,0,2,STK
S.GWW,1,0.01,0,0.005,0,2,STK
S.HAL,1,0.01,0,0.005,0,2,STK
S.HAR,1,0.01,0,0.005,0,2,STK
S.HAS,1,0.01,0,0.005,0,2,STK
S.HBAN,1,0.01,0,0.005,0,2,STK
S.HBI,1,0.01,0,0.005,0,2,STK
S.HBOC,1,0.01,0,0.005,0,2,STK
S.HCA,1,0.01,0,0.005,0,2,STK
S.HCBK,1,0.01,0,0.005,0,2,STK
S.WELL,1,0.01,0,0.005,0,2,STK
S.HCP,1,0.01,0,0.005,0,2,STK
S.HCR,1,0.01,0,0.005,0,2,STK
S.HD,1,0.01,0,0.005,0,2,STK
S.HDLM,1,0.01,0,0.005,0,2,STK
S.HES,1,0.01,0,0.005,0,2,STK
S.CZR,1,0.01,0,0.005,0,2,STK
S.HFS,1,0.01,0,0.005,0,2,STK
S.HIG,1,0.01,0,0.005,0,2,STK
S.HLT,1,0.01,0,0.005,0,2,STK
S.HM,1,0.01,0,0.005,0,2,STK
S.HMA,1,0.01,0,0.005,0,2,STK
S.HMX,1,0.01,0,0.005,0,2,STK
S.HNZ,1,0.01,0,0.005,0,2,STK
S.HOG,1,0.01,0,0.005,0,2,STK
S.HON,1,0.01,0,0.005,0,2,STK
S.HOT,1,0.01,0,0.005,0,2,STK
S.HP,1,0.01,0,0.005,0,2,STK
S.HPC,1,0.01,0,0.005,0,2,STK
S.HPE,1,0.01,0,0.005,0,2,STK
S.HPH,1,0.01,0,0.005,0,2,STK
S.HPQ,1,0.01,0,0.005,0,2,STK
S.HRB,1,0.01,0,0.005,0,2,STK
S.EHC,1,0.01,0,0.005,0,2,STK
S.HRL,1,0.01,0,0.005,0,2,STK
S.HRS,1,0.01,0,0.005,0,2,STK
S.HSH,1,0.01,0,0.005,0,2,STK
S.HSIC,1,0.01,0,0.005,0,2,STK
S.HSP,1,0.01,0,0.005,0,2,STK
S.HST,1,0.01,0,0.005,0,2,STK
S.HSY,1,0.01,0,0.005,0,2,STK
S.HUM,1,0.01,0,0.005,0,2,STK
S.IAC,1,0.01,0,0.005,0,2,STK
S.IBM,1,0.01,0,0.005,0,2,STK
S.ICE,1,0.01,0,0.005,0,2,STK
S.IFF,1,0.01,0,0.005,0,2,STK
S.IHRT,1,0.01,0,0.005,0,2,STK
S.IKN,1,0.01,0,0.005,0,2,STK
S.ILMN,1,0.01,0,0.005,0,2,STK
S.IMNX,1,0.01,0,0.005,0,2,STK
S.INTC,1,0.01,0,0.005,0,2,STK
S.INTU,1,0.01,0,0.005,0,2,STK
S.IP,1,0.01,0,0.005,0,2,STK
S.IPG,1,0.01,0,0.005,0,2,STK
S.IR,1,0.01,0,0.005,0,2,STK
S.IRM,1,0.01,0,0.005,0,2,STK
S.ISRG,1,0.01,0,0.005,0,2,STK
S.ITT,1,0.01,0,0.005,0,2,STK
S.ITW,1,0.01,0,0.005,0,2,STK
S.IVZ,1,0.01,0,0.005,0,2,STK
S.JAVA,1,0.01,0,0.005,0,2,STK
S.JBHT,1,0.01,0,0.005,0,2,STK
S.JBL,1,0.01,0,0.005,0,2,STK
S.JCP,1,0.01,0,0.005,0,2,STK
S.JEC,1,0.01,0,0.005,0,2,STK
S.JH,1,0.01,0,0.005,0,2,STK
S.JHF,1,0.01,0,0.005,0,2,STK
S.JNJ,1,0.01,0,0.005,0,2,STK
S.JNPR,1,0.01,0,0.005,0,2,STK
S.JNS,1,0.01,0,0.005,0,2,STK
S.JNY,1,0.01,0,0.005,0,2,STK
S.JOS,1,0.01,0,0.005,0,2,STK
S.JOY,1,0.01,0,0.005,0,2,STK
S.JP,1,0.01,0,0.005,0,2,STK
S.JPM,1,0.01,0,0.005,0,2,STK
S.JWN,1,0.01,0,0.005,0,2,STK
S.K,1,0.01,0,0.005,0,2,STK
S.KATE,1,0.01,0,0.005,0,2,STK
S.KBH,1,0.01,0,0.005,0,2,STK
S.KEY,1,0.01,0,0.005,0,2,STK
S.KG,1,0.01,0,0.005,0,2,STK
S.KHC,1,0.01,0,0.005,0,2,STK
S.KIM,1,0.01,0,0.005,0,2,STK
S.KLAC,1,0.01,0,0.005,0,2,STK
S.KM,1,0.01,0,0.005,0,2,STK
S.KMB,1,0.01,0,0.005,0,2,STK
S.KMI,1,0.01,0,0.005,0,2,STK
S.KMX,1,0.01,0,0.005,0,2,STK
S.KO,1,0.01,0,0.005,0,2,STK
S.CPRI,1,0.01,0,0.005,0,2,STK
S.KR,1,0.01,0,0.005,0,2,STK
S.KRB,1,0.01,0,0.005,0,2,STK
S.KRI,1,0.01,0,0.005,0,2,STK
S.KSE,1,0.01,0,0.005,0,2,STK
S.KSS,1,0.01,0,0.005,0,2,STK
S.KSU,1,0.01,0,0.005,0,2,STK
S.KWP,1,0.01,0,0.005,0,2,STK
S.L,1,0.01,0,0.005,0,2,STK
S.LB,1,0.01,0,0.005,0,2,STK
S.LDG,1,0.01,0,0.005,0,2,STK
S.LDOS,1,0.01,0,0.005,0,2,STK
S.LI,1,0.01,0,0.005,0,2,STK
S.LEG,1,0.01,0,0.005,0,2,STK
S.LEHMQ,1,0.01,0,0.005,0,2,STK
S.LEN,1,0.01,0,0.005,0,2,STK
S.LH,1,0.01,0,0.005,0,2,STK
S.LLL,1,0.01,0,0.005,0,2,STK
S.LLTC,1,0.01,0,0.005,0,2,STK
S.LLX,1,0.01,0,0.005,0,2,STK
S.LLY,1,0.01,0,0.005,0,2,STK
S.LM,1,0.01,0,0.005,0,2,STK
S.LMT,1,0.01,0,0.005,0,2,STK
S.LNC,1,0.01,0,0.005,0,2,STK
S.LO,1,0.01,0,0.005,0,2,STK
S.LOR,1,0.01,0,0.005,0,2,STK
S.LOTS,1,0.01,0,0.005,0,2,STK
